                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.47657,                0.38751,                0.95825,                0.93812,                0.88943,                0.94414,                0.79456,                  0.766,                0.49445,                 1.0507,             5.9374e-05,             5.9374e-05,             5.9374e-05
                     86,                0.46617,                0.37571,                 0.9579,                0.93596,                0.89619,                0.95264,                0.80007,                0.74597,                0.50074,                 1.0388,             5.6077e-05,             5.6077e-05,             5.6077e-05
                     87,                0.45899,                0.36799,                0.95673,                0.94965,                0.88701,                 0.9371,                0.76887,                0.79212,                0.51558,                 1.0788,             5.2781e-05,             5.2781e-05,             5.2781e-05
                     88,                0.45901,                0.36392,                0.95592,                0.92749,                0.90904,                0.94179,                0.78427,                0.77428,                0.49694,                 1.0608,             4.9484e-05,             4.9484e-05,             4.9484e-05
                     89,                0.46216,                0.35939,                0.95688,                0.92928,                0.90069,                0.94275,                0.77433,                0.78593,                0.52704,                 1.0669,             4.6187e-05,             4.6187e-05,             4.6187e-05
                     90,                0.45366,                0.34761,                0.95898,                0.93358,                0.88333,                0.94379,                0.77306,                0.80401,                0.52795,                  1.085,              4.289e-05,              4.289e-05,              4.289e-05
                     91,                0.31295,                 0.1677,                0.85131,                0.93069,                 0.8892,                0.93592,                0.77103,                0.80234,                0.52873,                 1.0837,             3.9594e-05,             3.9594e-05,             3.9594e-05
                     92,                0.30829,                0.16323,                0.85568,                0.93092,                 0.8778,                0.93877,                0.78529,                0.76521,                0.54696,                 1.0582,             3.6297e-05,             3.6297e-05,             3.6297e-05
                     93,                0.30602,                0.16505,                0.85596,                0.91749,                0.89104,                0.94577,                0.77724,                0.81444,                0.57706,                 1.0865,                3.3e-05,                3.3e-05,                3.3e-05
                     94,                0.30307,                0.16144,                 0.8519,                0.92399,                0.88945,                0.94964,                0.78844,                0.79456,                0.56508,                 1.0779,             2.9704e-05,             2.9704e-05,             2.9704e-05
                     95,                 0.3037,                 0.1594,                0.84583,                0.92865,                0.87752,                0.94777,                0.78654,                0.80053,                 0.5666,                 1.0841,             2.6407e-05,             2.6407e-05,             2.6407e-05
                     96,                0.29518,                0.15579,                0.84265,                0.92935,                0.87981,                0.94568,                0.78403,                0.79644,                0.55644,                   1.08,              2.311e-05,              2.311e-05,              2.311e-05
                     97,                0.29352,                0.15517,                0.84831,                0.92506,                0.88017,                0.93897,                0.77843,                0.78746,                0.57755,                 1.0741,             1.9814e-05,             1.9814e-05,             1.9814e-05
                     98,                0.29076,                0.15229,                0.84342,                0.92823,                0.87731,                0.93683,                0.78639,                0.76583,                0.57918,                 1.0617,             1.6517e-05,             1.6517e-05,             1.6517e-05
                     99,                0.28275,                0.14992,                  0.845,                0.92234,                0.88805,                0.94502,                0.78812,                0.78133,                0.57426,                 1.0729,              1.322e-05,              1.322e-05,              1.322e-05
